Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Patent applications, nonresidents",IP.PAT.NRES,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,..,..,..,120,238,391,..,386,..,..,..,361,..,8,..,4,3,5,5,8,3,1,..,1,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,349,340,320,278,345,..,..,..,201,200,229,170,164,138,118,134,150,207,267,248,127,94,291,296,334,465,611,765,..,..,730,803,781,722,719,716,566,594,521,525,547,581,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,6,10,12,5,8,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114,108,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,7,7,15,10,12,8,5,..,3,8,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3063,3321,2793,2443,2656,..,..,..,..,..,1955,1851,1919,2261,2820,3588,4012,5035,5459,5558,5574,5088,4143,3765,3816,4215,4597,4806,4781,4336,4165,4133,4078,4129,4173,3579,2925,3050,3242,3260,2562,3263,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,79,98,154,121,8,16,8,15,7,6,..,2,1,5,4,11,6,19,4,6,2,2,1,3,4,4,7,8,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10259,11378,11373,11542,12178,12132,12349,12611,12431,12901,13278,11762,12100,11284,11647,12277,13221,15398,16063,17960,20073,20548,20181,19176,20274,21302,23166,24122,23525,21187,22478,23143,23731,26656,23968,26314,25774,26403,27200,27121,26926,29443,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4166,3428,2620,2322,1891,1591,1336,1272,1048,915,670,544,517,513,516,458,449,397,349,341,340,284,329,213,266,235,378,287,329,292,249,276,294,244,271,236,237,232,168,208,173,175,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,17,..,..,..,..,10,7,18,7,6,13,8,7,17,17,12,..,..,..,..,19,22,16,20,18,16,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51,50,..,38,42,37,..,32,..,25,27,29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83,75,113,68,34,48,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47,28,41,28,65,16,20,..,..,..,..,..,31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,139,161,167,199,185,171,237,219,322,257,326,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102,133,104,123,104,96,77,98,109,76,76,77,89,71,89,156,131,119,184,200,248,236,246,260,268,294,288,270,278,275,276,269,287,243,249,299,267,241,299,345,362,373,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44,38,..,..,35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,..,85,93,121,80,76,44,109,84,79,88,71,36,39,38,45,41,..,..,31,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,666,1005,415,361,414,79,345,204,214,379,298,200,296,337,257,220,173,174,146,190,145,105,148,66,90,94,95,77,110,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5104,3918,2944,2261,1966,1476,1334,889,776,663,613,574,499,679,446,355,310,269,249,249,243,264,147,188,122,105,161,163,133,148,140,127,127,161,137,148,119,216,218,257,288,415,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,33,41,48,54,..,..,49,51,32,36,26,37,32,24,32,23,27,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,4,..,7,1,3,9,17,6,7,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117,120,89,70,54,41,..,..,..,..,..,..,..,62,89,106,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,294,..,241,277,..,..,151,227,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105,242,309,..,242,346,306,162,..,12,..,9,12,14,22,2,..,6,12,12,14,5,8,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,34,29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,9,1,5,5,6,4,3,..,2,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6228,6113,5562,4900,4657,4565,4413,4702,4546,4657,5148,4625,4374,4221,4228,4741,5446,13479,13546,14693,14104,14410,13204,12545,12669,14444,15886,17469,18890,18135,20771,23954,25637,25925,25683,25578,22810,20178,19877,19932,19058,19566,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88,41,42,21,42,32,34,21,21,21,43,31,26,41,64,75,42,..,..,11,15,91,..,73,99,95,133,115,137,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,804,871,717,728,738,248,211,311,253,267,331,326,351,152,531,363,407,538,524,616,709,785,735,680,133,52,48,28,22,24,17,21,14,15,16,11,11,23,18,7,7,6,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,5,2,2,7,..,2,..,..,1,3,..,2,1,4,1,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,2,15,5,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,1,1,4,1,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,39,28,26,43,53,74,65,65,77,55,160,310,248,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22699,23267,23883,23690,24709,25482,25596,26598,28869,32060,24375,21097,22950,23307,24683,24161,24987,25238,30163,33189,35435,35753,35782,33299,32970,34705,36516,35133,37028,32410,30899,30357,30533,30174,31283,32687,30667,30969,31812,32250,30113,32445,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,685,744,665,647,602,550,592,621,622,682,642,838,949,1179,1418,1535,1771,2411,2568,2608,2879,2504,2147,2076,2485,2646,2924,3403,3421,1374,748,2453,2683,2732,2653,2831,2521,2469,2694,2799,2433,2680,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4493,4515,4084,4872,4910,4305,4051,4387,7534,7876,8688,11114,12102,33645,34418,26560,33412,40426,48548,64598,79842,88183,92101,95259,85508,98111,110583,117464,120200,127042,133612,133522,135885,148187,157093,152342,159019,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,335,604,..,527,471,441,404,532,420,516,..,527,575,769,867,1093,1172,1497,1670,1615,1694,432,858,1127,1365,1662,1861,1862,1818,1551,1739,1770,1848,1781,1898,1921,1658,1777,1808,1735,1752,1855,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,107,90,110,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81,..,55,..,..,..,..,..,21,15,27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82,90,60,72,37,34,36,34,40,25,43,59,71,84,92,111,126,113,172,127,47,191,220,238,294,423,571,647,774,507,606,610,578,580,529,582,497,504,490,483,524,566,..,..,..
"Patent applications, nonresidents",IP.PAT.NRES,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..
